"","date","experiment","round","assay","plate","condition","control","strain","row","col","trait","phenotype"
"1",20190308,"dose_modifiedHTA",3,NA,3,"zinc-0","None","N2","A",1,"median.TOF",193.5
"2",20190308,"dose_modifiedHTA",3,NA,3,"zinc-250","zinc-0","ECA486","A",10,"median.TOF",188
"3",20190308,"dose_modifiedHTA",3,NA,3,"zinc-500","zinc-0","ECA486","A",11,"median.TOF",154
"4",20190308,"dose_modifiedHTA",3,NA,3,"zinc-750","zinc-0","ECA486","A",12,"median.TOF",130
"5",20190308,"dose_modifiedHTA",3,NA,3,"zinc-250","zinc-0","N2","A",2,"median.TOF",151
"6",20190308,"dose_modifiedHTA",3,NA,3,"zinc-500","zinc-0","N2","A",3,"median.TOF",139
"7",20190308,"dose_modifiedHTA",3,NA,3,"zinc-750","zinc-0","N2","A",4,"median.TOF",138.5
"8",20190308,"dose_modifiedHTA",3,NA,3,"zinc-0","None","ECA411","A",5,"median.TOF",211.5
"9",20190308,"dose_modifiedHTA",3,NA,3,"zinc-250","zinc-0","ECA411","A",6,"median.TOF",163.5
"10",20190308,"dose_modifiedHTA",3,NA,3,"zinc-500","zinc-0","ECA411","A",7,"median.TOF",129
"11",20190308,"dose_modifiedHTA",3,NA,3,"zinc-750","zinc-0","ECA411","A",8,"median.TOF",120
"12",20190308,"dose_modifiedHTA",3,NA,3,"zinc-0","None","ECA486","A",9,"median.TOF",243.5
"13",20190308,"dose_modifiedHTA",3,NA,3,"zinc-0","None","N2","B",1,"median.TOF",219
"14",20190308,"dose_modifiedHTA",3,NA,3,"zinc-250","zinc-0","ECA486","B",10,"median.TOF",162
"15",20190308,"dose_modifiedHTA",3,NA,3,"zinc-500","zinc-0","ECA486","B",11,"median.TOF",143.5
"16",20190308,"dose_modifiedHTA",3,NA,3,"zinc-750","zinc-0","ECA486","B",12,"median.TOF",123.5
"17",20190308,"dose_modifiedHTA",3,NA,3,"zinc-250","zinc-0","N2","B",2,"median.TOF",157.5
"18",20190308,"dose_modifiedHTA",3,NA,3,"zinc-500","zinc-0","N2","B",3,"median.TOF",178
"19",20190308,"dose_modifiedHTA",3,NA,3,"zinc-750","zinc-0","N2","B",4,"median.TOF",123
"20",20190308,"dose_modifiedHTA",3,NA,3,"zinc-0","None","ECA411","B",5,"median.TOF",207.5
"21",20190308,"dose_modifiedHTA",3,NA,3,"zinc-250","zinc-0","ECA411","B",6,"median.TOF",142
"22",20190308,"dose_modifiedHTA",3,NA,3,"zinc-500","zinc-0","ECA411","B",7,"median.TOF",109.5
"23",20190308,"dose_modifiedHTA",3,NA,3,"zinc-750","zinc-0","ECA411","B",8,"median.TOF",116
"24",20190308,"dose_modifiedHTA",3,NA,3,"zinc-0","None","ECA486","B",9,"median.TOF",264
"25",20190308,"dose_modifiedHTA",3,NA,3,"zinc-0","None","N2","C",1,"median.TOF",261
"26",20190308,"dose_modifiedHTA",3,NA,3,"zinc-250","zinc-0","ECA486","C",10,"median.TOF",177
"27",20190308,"dose_modifiedHTA",3,NA,3,"zinc-500","zinc-0","ECA486","C",11,"median.TOF",146
"28",20190308,"dose_modifiedHTA",3,NA,3,"zinc-250","zinc-0","N2","C",2,"median.TOF",151
"29",20190308,"dose_modifiedHTA",3,NA,3,"zinc-500","zinc-0","N2","C",3,"median.TOF",143
"30",20190308,"dose_modifiedHTA",3,NA,3,"zinc-750","zinc-0","N2","C",4,"median.TOF",111
"31",20190308,"dose_modifiedHTA",3,NA,3,"zinc-0","None","ECA411","C",5,"median.TOF",231
"32",20190308,"dose_modifiedHTA",3,NA,3,"zinc-250","zinc-0","ECA411","C",6,"median.TOF",181
"33",20190308,"dose_modifiedHTA",3,NA,3,"zinc-500","zinc-0","ECA411","C",7,"median.TOF",115
"34",20190308,"dose_modifiedHTA",3,NA,3,"zinc-750","zinc-0","ECA411","C",8,"median.TOF",97
"35",20190308,"dose_modifiedHTA",3,NA,3,"zinc-0","None","ECA486","C",9,"median.TOF",243
"36",20190308,"dose_modifiedHTA",3,NA,3,"zinc-0","None","CB4856","E",1,"median.TOF",215
"37",20190308,"dose_modifiedHTA",3,NA,3,"zinc-250","zinc-0","ECA1114","E",10,"median.TOF",187.5
"38",20190308,"dose_modifiedHTA",3,NA,3,"zinc-500","zinc-0","ECA1114","E",11,"median.TOF",119
"39",20190308,"dose_modifiedHTA",3,NA,3,"zinc-750","zinc-0","ECA1114","E",12,"median.TOF",104.5
"40",20190308,"dose_modifiedHTA",3,NA,3,"zinc-250","zinc-0","CB4856","E",2,"median.TOF",128
"41",20190308,"dose_modifiedHTA",3,NA,3,"zinc-750","zinc-0","CB4856","E",4,"median.TOF",92.5
"42",20190308,"dose_modifiedHTA",3,NA,3,"zinc-0","None","ECA451","E",5,"median.TOF",209
"43",20190308,"dose_modifiedHTA",3,NA,3,"zinc-250","zinc-0","ECA451","E",6,"median.TOF",157.5
"44",20190308,"dose_modifiedHTA",3,NA,3,"zinc-500","zinc-0","ECA451","E",7,"median.TOF",115
"45",20190308,"dose_modifiedHTA",3,NA,3,"zinc-750","zinc-0","ECA451","E",8,"median.TOF",110.5
"46",20190308,"dose_modifiedHTA",3,NA,3,"zinc-0","None","ECA1114","E",9,"median.TOF",238
"47",20190308,"dose_modifiedHTA",3,NA,3,"zinc-0","None","CB4856","F",1,"median.TOF",223.5
"48",20190308,"dose_modifiedHTA",3,NA,3,"zinc-250","zinc-0","ECA1114","F",10,"median.TOF",190.5
