date,experiment,round,assay,condition,control,plate,row,col,strain,trait,phenotype
20140616,GWAS,8,a,zinc,1percwater,19,D,1,CX11307,norm.n,-13.595845006539252
20140617,GWAS,8,b,zinc,1percwater,19,D,1,JU394,norm.n,-9.303587508865096
20140616,GWAS,8,a,zinc,1percwater,19,D,3,ED3052,median.EXT,28.651136999302885
20140617,GWAS,8,b,zinc,1percwater,19,D,3,JU782,median.EXT,29.14496686681641
20140616,GWAS,8,a,zinc,1percwater,19,D,3,ED3052,median.norm.EXT,0.15551301370346593
20140617,GWAS,8,b,zinc,1percwater,19,D,3,JU782,median.norm.EXT,0.04901973745806047
20140616,GWAS,8,a,zinc,1percwater,19,D,3,ED3052,median.TOF,-3.437191300429473
20140617,GWAS,8,b,zinc,1percwater,19,D,3,JU782,median.TOF,15.835586618234593
20140616,GWAS,8,a,zinc,1percwater,19,D,3,ED3052,norm.n,-32.17895716031282
20140617,GWAS,8,b,zinc,1percwater,19,D,3,JU782,norm.n,21.61787703408716
20140616,GWAS,8,a,zinc,1percwater,19,D,5,CB4856,median.EXT,-18.402679225726587
20140617,GWAS,8,b,zinc,1percwater,19,D,5,JU751,median.EXT,-24.306992650828555
20140616,GWAS,8,a,zinc,1percwater,19,D,5,CB4856,median.norm.EXT,-0.14128882097852832
20140617,GWAS,8,b,zinc,1percwater,19,D,5,JU751,median.norm.EXT,-0.01121467400496838
20140616,GWAS,8,a,zinc,1percwater,19,D,5,CB4856,median.TOF,7.64930954183521
20140617,GWAS,8,b,zinc,1percwater,19,D,5,JU751,median.TOF,-18.87056117852909
20140616,GWAS,8,a,zinc,1percwater,19,D,5,CB4856,norm.n,22.61584657930982
20140617,GWAS,8,b,zinc,1percwater,19,D,5,JU751,norm.n,-22.58436668703752
20140616,GWAS,8,a,zinc,1percwater,19,D,7,CX11314,median.EXT,43.218177962969776
20140617,GWAS,8,b,zinc,1percwater,19,D,7,JU1172,median.EXT,35.41572124525233
20140616,GWAS,8,a,zinc,1percwater,19,D,7,CX11314,median.norm.EXT,0.0016900304770923451
20140617,GWAS,8,b,zinc,1percwater,19,D,7,JU1172,median.norm.EXT,0.035292062156227336
20140616,GWAS,8,a,zinc,1percwater,19,D,7,CX11314,median.TOF,18.429421874494615
20140617,GWAS,8,b,zinc,1percwater,19,D,7,JU1172,median.TOF,25.236148281531634
20140616,GWAS,8,a,zinc,1percwater,19,D,7,CX11314,norm.n,48.0643263346557
20140617,GWAS,8,b,zinc,1percwater,19,D,7,JU1172,norm.n,-3.8102307221836185
20140616,GWAS,8,a,zinc,1percwater,19,D,9,JU1200,median.EXT,33.53605555328095
20140616,GWAS,8,a,zinc,1percwater,19,D,9,JU1200,median.norm.EXT,0.022345673164664567
20140616,GWAS,8,a,zinc,1percwater,19,D,9,JU1200,median.TOF,4.50258403425171
20140616,GWAS,8,a,zinc,1percwater,19,D,9,JU1200,norm.n,22.848796186893967
20140616,GWAS,8,a,zinc,1percwater,19,D,11,JU1586,median.EXT,-38.1874143256087
20140617,GWAS,8,b,zinc,1percwater,19,D,11,PB303,median.EXT,36.26339481941546
