date,experiment,round,assay,plate,condition,control,strain,row,col,trait,phenotype,H2,H2_ci_l,H2_ci_r
20170508,heritability,NA,NA,4,zinc,water,N2,A,1,median.TOF,183.5,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,CB4856,A,10,median.TOF,116,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,CB4856,A,11,median.TOF,105,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,N2,A,3,median.TOF,167.5,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,N2,A,5,median.TOF,151,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,CB4856,A,7,median.TOF,112,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,CB4856,A,9,median.TOF,113,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,DL238,B,1,median.TOF,153,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,JU775,B,10,median.TOF,114,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,JU775,B,11,median.TOF,101,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,DL238,B,2,median.TOF,150,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,DL238,B,3,median.TOF,129,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,DL238,B,4,median.TOF,124,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,DL238,B,5,median.TOF,110.5,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,JU775,B,7,median.TOF,147,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,JU775,B,8,median.TOF,132,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,N2,C,10,median.TOF,155,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,N2,C,11,median.TOF,138.5,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,DL238,C,2,median.TOF,143,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,DL238,C,3,median.TOF,125,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,DL238,C,4,median.TOF,117,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,DL238,C,5,median.TOF,111,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,N2,C,7,median.TOF,163.5,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,N2,C,9,median.TOF,161,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,JU775,D,3,median.TOF,155,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,JU775,D,4,median.TOF,140,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,JU775,D,5,median.TOF,145,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,N2,F,10,median.TOF,148,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,CB4856,G,1,median.TOF,149,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,JU775,G,10,median.TOF,108,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,JU775,G,11,median.TOF,104.5,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,CB4856,G,3,median.TOF,129.5,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,JU775,G,9,median.TOF,113,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,N2,H,1,median.TOF,175,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,N2,H,2,median.TOF,178,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,N2,H,5,median.TOF,147,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,DL238,H,7,median.TOF,103.5,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,4,zinc,water,DL238,H,9,median.TOF,98,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,N2,A,1,median.TOF,157,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,CB4856,A,10,median.TOF,99,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,CB4856,A,11,median.TOF,107,0.48091284236112963,0.3032366599655796,0.6015987457420702
20170508,heritability,NA,NA,8,zinc,water,N2,A,2,median.TOF,146.5,0.48091284236112963,0.3032366599655796,0.6015987457420702
