var,estimate,ci_lower,ci_upper,prob,probe,marker,trait,probe_lod
med,0.006751284542777578,-0.1369499679931079,0.13657610653303434,0.886,A_12_P101527,III_483064,zinc_median.EXT,3.7814947198575317
direct,0.5492441832274473,0.11613330639902864,0.9432869388873787,0.012,A_12_P101527,III_483064,zinc_median.EXT,3.7814947198575317
total,0.5559954677702248,0.15407635709710413,0.9459372739130991,0.008,A_12_P101527,III_483064,zinc_median.EXT,3.7814947198575317
prop_med,0.012142697079623802,-0.3667726416903277,0.350622364146701,0.894,A_12_P101527,III_483064,zinc_median.EXT,3.7814947198575317
med,-0.5259297100526836,-1.1556189918041113,-0.09506731892795445,0.02,A_12_P101540,III_4664,zinc_median.EXT,32.34517351722837
direct,1.050639813414265,0.4837399257779029,1.7571280688748114,0,A_12_P101540,III_4664,zinc_median.EXT,32.34517351722837
total,0.5247101033615813,0.04202726009364362,0.9850806554734831,0.028,A_12_P101540,III_4664,zinc_median.EXT,32.34517351722837
prop_med,-1.0023243438296479,-6.66119257487038,-0.028916931575277135,0.048,A_12_P101540,III_4664,zinc_median.EXT,32.34517351722837
med,-0.20296631685111488,-0.4311297625343784,0.0014545629962009025,0.052,A_12_P102932,III_4664,zinc_median.EXT,6.66536053971711
direct,0.6521870647257024,0.20659828363679109,1.1137455174083275,0.008,A_12_P102932,III_4664,zinc_median.EXT,6.66536053971711
total,0.44922074787458754,0.051042226652909764,0.866218768845831,0.026,A_12_P102932,III_4664,zinc_median.EXT,6.66536053971711
prop_med,-0.4518186611179824,-2.506591640460102,0.041823198868931655,0.078,A_12_P102932,III_4664,zinc_median.EXT,6.66536053971711
med,-0.591020820209173,-1.3231976448310865,0.1266444440597784,0.088,A_12_P104472,III_118992,zinc_median.EXT,47.80395558729442
direct,1.041273026301304,0.25050989667674023,1.8172236439770524,0.016,A_12_P104472,III_118992,zinc_median.EXT,47.80395558729442
total,0.4502522060921309,0.04087371181133796,0.8627492727666829,0.034,A_12_P104472,III_118992,zinc_median.EXT,47.80395558729442
prop_med,-1.3126439187023948,-7.032692171042257,0.9720011886690764,0.122,A_12_P104472,III_118992,zinc_median.EXT,47.80395558729442
med,-0.2639706781611753,-0.48354951400467344,-0.08159559942634714,0.008,A_12_P104669,III_555416,zinc_median.EXT,5.633216061533967
direct,0.78686598805282,0.41407536574112086,1.1646419950861926,0,A_12_P104669,III_555416,zinc_median.EXT,5.633216061533967
total,0.5228953098916447,0.13023801638114074,0.9446920771221475,0.008,A_12_P104669,III_555416,zinc_median.EXT,5.633216061533967
