var,estimate,ci_lower,ci_upper,prob,probe,marker,trait,probe_lod
prop_med,-0.5048251020187497,-2.5311871495477773,-0.11022881416209217,0.016,A_12_P104669,III_555416,zinc_median.EXT,5.633216061533967
med,-0.07332281866258002,-0.5498448867468745,0.32827949029864917,0.684,A_12_P108308,III_4664,zinc_median.EXT,31.656638152143138
direct,0.5189117325228702,-0.06590281677828147,1.1096927123026445,0.09,A_12_P108308,III_4664,zinc_median.EXT,31.656638152143138
total,0.44558891386029015,0.010947601658450625,0.8484771353236421,0.048,A_12_P108308,III_4664,zinc_median.EXT,31.656638152143138
prop_med,-0.16455260977513825,-2.999063551640178,1.44973362990953,0.696,A_12_P108308,III_4664,zinc_median.EXT,31.656638152143138
med,-0.27544019539319603,-0.562107737002488,-0.004435543566962328,0.044,A_12_P108322,III_148752,zinc_median.EXT,13.848864969892585
direct,0.6922082123810939,0.2635970947159373,1.1256802403948556,0,A_12_P108322,III_148752,zinc_median.EXT,13.848864969892585
total,0.41676801698789784,0.016774096633484767,0.8210842746603213,0.048,A_12_P108322,III_148752,zinc_median.EXT,13.848864969892585
prop_med,-0.6608957121611236,-3.5586359994545904,0.2242074364310966,0.092,A_12_P108322,III_148752,zinc_median.EXT,13.848864969892585
med,-0.010646330002875097,-0.6364074640835208,0.6789629064119226,0.986,A_12_P108525,III_5370,zinc_median.EXT,27.364263817934123
direct,0.49533285737540755,-0.2610801692788389,1.1730825570689125,0.174,A_12_P108525,III_5370,zinc_median.EXT,27.364263817934123
total,0.4846865273725325,0.014955566174136046,0.957797513494082,0.044,A_12_P108525,III_5370,zinc_median.EXT,27.364263817934123
prop_med,-0.02196539289133629,-3.3507592563740487,2.589034166727118,0.998,A_12_P108525,III_5370,zinc_median.EXT,27.364263817934123
med,-0.08045552258613169,-0.3212402074700643,0.15064033659161197,0.452,A_12_P110614,III_119077,zinc_median.EXT,6.018624349760074
direct,0.5085010886893541,0.12491760152707644,0.8880059270520767,0.004,A_12_P110614,III_119077,zinc_median.EXT,6.018624349760074
total,0.42804556610322236,0.03897508648641589,0.7958406581699804,0.038,A_12_P110614,III_119077,zinc_median.EXT,6.018624349760074
prop_med,-0.18796018218006724,-2.3757240487198477,0.5459871779460912,0.49,A_12_P110614,III_119077,zinc_median.EXT,6.018624349760074
med,0.1352093190179669,-0.08935140663709507,0.3817641002538486,0.19,A_12_P112127,III_483064,zinc_median.EXT,5.6565731899296114
direct,0.42222031420577616,-0.04575089861957376,0.9120953549338428,0.078,A_12_P112127,III_483064,zinc_median.EXT,5.6565731899296114
total,0.5574296332237431,0.17457038957458446,0.9515748682561523,0.006,A_12_P112127,III_483064,zinc_median.EXT,5.6565731899296114
prop_med,0.24255854184862846,-0.16532655011871464,1.176502897831956,0.196,A_12_P112127,III_483064,zinc_median.EXT,5.6565731899296114
med,-0.12483987079658083,-0.4960435430677278,0.2847488290071129,0.512,A_12_P116035,III_5370,zinc_median.EXT,23.943259182553405
direct,0.5932148829615,-0.03325544220054425,1.153362196324412,0.06,A_12_P116035,III_5370,zinc_median.EXT,23.943259182553405
total,0.4683750121649192,0.05473855652636989,0.8779007526967895,0.028,A_12_P116035,III_5370,zinc_median.EXT,23.943259182553405
prop_med,-0.26653828140734276,-1.899296522918435,1.106820885955335,0.512,A_12_P116035,III_5370,zinc_median.EXT,23.943259182553405
med,-0.3078688516551899,-0.5642117306386732,-0.10989422632313041,0.01,A_12_P116878,III_149723,zinc_median.EXT,13.498999547642098
direct,0.7812969535369219,0.3239702207252557,1.2611885938748062,0,A_12_P116878,III_149723,zinc_median.EXT,13.498999547642098
total,0.47342810188173196,0.05076692266037458,0.9135504581398852,0.028,A_12_P116878,III_149723,zinc_median.EXT,13.498999547642098
prop_med,-0.6502969520218705,-4.04288265333972,-0.14426429457761944,0.038,A_12_P116878,III_149723,zinc_median.EXT,13.498999547642098
med,0.06977403614522128,-0.07333730137983292,0.24020312699490007,0.372,A_12_P117053,III_29436,zinc_median.EXT,5.183110063893745
direct,0.4217228742062896,-0.014234178154197759,0.8096435049384979,0.062,A_12_P117053,III_29436,zinc_median.EXT,5.183110063893745
total,0.4914969103515109,0.056934705369215716,0.8856607527853345,0.028,A_12_P117053,III_29436,zinc_median.EXT,5.183110063893745
prop_med,0.14196230876674276,-0.2897088218611928,0.8045004236786624,0.388,A_12_P117053,III_29436,zinc_median.EXT,5.183110063893745
med,0.10695029323054481,-0.11571828453992589,0.3469334373904633,0.348,A_12_P117072,III_483064,zinc_median.EXT,5.312323448875359
direct,0.5404214278569605,0.002970544714270967,1.0478547591345881,0.05,A_12_P117072,III_483064,zinc_median.EXT,5.312323448875359
total,0.6473717210875052,0.18438316746626723,1.096410676521668,0.004,A_12_P117072,III_483064,zinc_median.EXT,5.312323448875359
prop_med,0.1652069278696348,-0.2413951277898134,0.9593016016038026,0.352,A_12_P117072,III_483064,zinc_median.EXT,5.312323448875359
med,-0.08735590657344898,-0.3466857963620842,0.09971891882533088,0.368,A_12_P117219,III_866055,zinc_median.EXT,6.5597968855193
direct,0.5434529267930416,0.10203011350007299,0.995706337481974,0.018,A_12_P117219,III_866055,zinc_median.EXT,6.5597968855193
total,0.4560970202195926,0.0649479707828565,0.8509388510290996,0.022,A_12_P117219,III_866055,zinc_median.EXT,6.5597968855193
prop_med,-0.19152922010187784,-1.5199539416018084,0.31663992519581824,0.374,A_12_P117219,III_866055,zinc_median.EXT,6.5597968855193
med,0.033617894890776115,-0.5441065583434354,0.5767771975193794,0.874,A_12_P118060,III_5370,zinc_median.EXT,26.66484063005712
direct,0.4304784204316227,-0.29489951214130794,1.1148105610752772,0.248,A_12_P118060,III_5370,zinc_median.EXT,26.66484063005712
total,0.4640963153223988,0.02706750800543093,0.8982560002071234,0.04,A_12_P118060,III_5370,zinc_median.EXT,26.66484063005712
prop_med,0.07243732341943376,-1.9611406869355714,3.1309801446605525,0.886,A_12_P118060,III_5370,zinc_median.EXT,26.66484063005712
med,-0.03446185095857658,-0.3249121171190715,0.2373955415699474,0.824,A_12_P118947,III_5370,zinc_median.EXT,14.718789659903873
direct,0.49780387022279515,0.010749411140447014,0.9969378715447589,0.048,A_12_P118947,III_5370,zinc_median.EXT,14.718789659903873
total,0.4633420192642186,0.03765480932494366,0.8887961111698195,0.03,A_12_P118947,III_5370,zinc_median.EXT,14.718789659903873
prop_med,-0.07437670128278366,-1.2135231393511188,0.9510242599156725,0.834,A_12_P118947,III_5370,zinc_median.EXT,14.718789659903873
