date,experiment,round,assay,condition,control,plate,row,col,strain,set,trait,phenotype
20140722,RIAILs,2,h,zinc,1percwater,18,A,7,QX72,1,norm.n,27.677058407001955
20140728,RIAILs,2,i,zinc,1percwater,18,A,7,QX304,2,norm.n,-22.203079496623275
20140729,RIAILs,2,j,zinc,1percwater,18,A,7,QX448,2,norm.n,7.691841756002574
20140701,RIAILs,2,b,zinc,1percwater,18,A,9,QX534,2,median.EXT,-29.057496503028517
20140707,RIAILs,2,c,zinc,1percwater,18,A,9,QX503,2,median.EXT,-18.692653262952103
20140708,RIAILs,2,d,zinc,1percwater,18,A,9,N2,NA,median.EXT,44.06187638256145
20140714,RIAILs,2,e,zinc,1percwater,18,A,9,QX401,2,median.EXT,50.6127566527851
20140715,RIAILs,2,f,zinc,1percwater,18,A,9,QX468,2,median.EXT,-34.03940620405752
20140721,RIAILs,2,g,zinc,1percwater,18,A,9,QX451,2,median.EXT,-16.585766006338577
20140722,RIAILs,2,h,zinc,1percwater,18,A,9,CB4856,NA,median.EXT,-5.5550241433994
20140728,RIAILs,2,i,zinc,1percwater,18,A,9,QX243,2,median.EXT,31.651286817154364
20140729,RIAILs,2,j,zinc,1percwater,18,A,9,QX417,2,median.EXT,-123.48440749276524
20140701,RIAILs,2,b,zinc,1percwater,18,A,9,QX534,2,median.norm.EXT,-0.139508503511261
20140707,RIAILs,2,c,zinc,1percwater,18,A,9,QX503,2,median.norm.EXT,-0.1039806466700256
20140708,RIAILs,2,d,zinc,1percwater,18,A,9,N2,NA,median.norm.EXT,0.08931815517558209
20140714,RIAILs,2,e,zinc,1percwater,18,A,9,QX401,2,median.norm.EXT,0.07422622379610266
20140715,RIAILs,2,f,zinc,1percwater,18,A,9,QX468,2,median.norm.EXT,-0.16663067810446883
20140721,RIAILs,2,g,zinc,1percwater,18,A,9,QX451,2,median.norm.EXT,-0.0785018798437907
20140722,RIAILs,2,h,zinc,1percwater,18,A,9,CB4856,NA,median.norm.EXT,0.0058464633768360395
20140728,RIAILs,2,i,zinc,1percwater,18,A,9,QX243,2,median.norm.EXT,0.13392218074330142
20140729,RIAILs,2,j,zinc,1percwater,18,A,9,QX417,2,median.norm.EXT,-0.4113080952821907
20140701,RIAILs,2,b,zinc,1percwater,18,A,9,QX534,2,median.TOF,-10.559576415355652
20140707,RIAILs,2,c,zinc,1percwater,18,A,9,QX503,2,median.TOF,-7.265216414427016
20140708,RIAILs,2,d,zinc,1percwater,18,A,9,N2,NA,median.TOF,7.836255378224808
20140714,RIAILs,2,e,zinc,1percwater,18,A,9,QX401,2,median.TOF,12.529340115343981
20140715,RIAILs,2,f,zinc,1percwater,18,A,9,QX468,2,median.TOF,-6.69660667701672
20140721,RIAILs,2,g,zinc,1percwater,18,A,9,QX451,2,median.TOF,-17.968520829337177
20140722,RIAILs,2,h,zinc,1percwater,18,A,9,CB4856,NA,median.TOF,1.5023056841964677
20140728,RIAILs,2,i,zinc,1percwater,18,A,9,QX243,2,median.TOF,0.48869186605320375
20140729,RIAILs,2,j,zinc,1percwater,18,A,9,QX417,2,median.TOF,-49.62060143559867
20140701,RIAILs,2,b,zinc,1percwater,18,A,9,QX534,2,norm.n,17.123922085233882
20140707,RIAILs,2,c,zinc,1percwater,18,A,9,QX503,2,norm.n,12.522058116411573
20140708,RIAILs,2,d,zinc,1percwater,18,A,9,N2,NA,norm.n,26.713363013143738
20140714,RIAILs,2,e,zinc,1percwater,18,A,9,QX401,2,norm.n,-5.361881585169812
20140715,RIAILs,2,f,zinc,1percwater,18,A,9,QX468,2,norm.n,3.821424226770503
20140721,RIAILs,2,g,zinc,1percwater,18,A,9,QX451,2,norm.n,5.096859372384312
20140722,RIAILs,2,h,zinc,1percwater,18,A,9,CB4856,NA,norm.n,-0.5104149768601342
20140728,RIAILs,2,i,zinc,1percwater,18,A,9,QX243,2,norm.n,-3.1992084794706237
20140729,RIAILs,2,j,zinc,1percwater,18,A,9,QX417,2,norm.n,3.110802004192158
20140701,RIAILs,2,b,zinc,1percwater,18,A,11,QX307,2,median.EXT,25.399703336836165
20140707,RIAILs,2,c,zinc,1percwater,18,A,11,QX437,2,median.EXT,15.05644314923384
20140708,RIAILs,2,d,zinc,1percwater,18,A,11,QX87,1,median.EXT,102.95601749309397
20140714,RIAILs,2,e,zinc,1percwater,18,A,11,QX453,2,median.EXT,24.677622557745376
20140715,RIAILs,2,f,zinc,1percwater,18,A,11,QX416,2,median.EXT,-59.326357095607946
20140721,RIAILs,2,g,zinc,1percwater,18,A,11,QX382,2,median.EXT,-36.53982734106054
20140722,RIAILs,2,h,zinc,1percwater,18,A,11,QX561,2,median.EXT,27.949921537371438
20140728,RIAILs,2,i,zinc,1percwater,18,A,11,QX403,2,median.EXT,-21.359080390500807
20140729,RIAILs,2,j,zinc,1percwater,18,A,11,QX475,2,median.EXT,7.002086794436854
20140701,RIAILs,2,b,zinc,1percwater,18,A,11,QX307,2,median.norm.EXT,0.04190995656167269
20140707,RIAILs,2,c,zinc,1percwater,18,A,11,QX437,2,median.norm.EXT,0.10374932583985776
20140708,RIAILs,2,d,zinc,1percwater,18,A,11,QX87,1,median.norm.EXT,0.0774012755710285
20140714,RIAILs,2,e,zinc,1percwater,18,A,11,QX453,2,median.norm.EXT,0.026595163671393925
20140715,RIAILs,2,f,zinc,1percwater,18,A,11,QX416,2,median.norm.EXT,-0.156359213598676
20140721,RIAILs,2,g,zinc,1percwater,18,A,11,QX382,2,median.norm.EXT,-0.14284178099278866
